order_item_id,order_id,store_id,product_id,quantity,unit_price
1,55,8,37,1,434.03
2,64,4,43,1,495.89
3,5,9,61,1,73.45
4,10,5,49,3,383.63
5,72,1,3,5,351.00
6,27,6,100,4,196.12
7,44,6,79,2,303.73
8,35,9,72,5,179.35
9,71,5,83,4,361.92
10,39,7,42,5,389.98
11,45,2,92,1,190.73
12,82,1,3,4,351.00
13,52,2,32,2,196.04
14,71,3,22,3,130.33
15,46,3,45,1,327.82
16,39,5,12,4,340.70
17,76,7,6,3,168.85
18,78,10,78,4,414.53
19,69,6,5,4,467.39
20,93,3,33,4,293.25
21,91,1,95,2,362.86
22,52,1,95,4,362.86
23,19,3,33,5,293.25
24,25,2,32,3,196.04
25,98,1,96,5,209.32
26,98,8,87,4,452.51
27,53,5,83,2,361.92
28,46,4,91,5,414.17
29,46,9,71,2,431.45
30,96,3,22,2,130.33
31,55,3,22,4,130.33
32,97,2,40,2,73.66
33,3,6,63,4,137.90
34,84,6,64,5,279.80
35,54,7,24,2,130.48
36,97,7,86,3,112.42
37,57,7,36,2,130.37
38,36,2,7,3,191.86
39,39,9,34,1,123.96
40,30,8,37,3,434.03
41,48,10,90,4,384.64
42,22,1,39,5,473.40
43,14,9,88,3,251.61
44,72,4,43,2,495.89
45,8,4,80,3,145.07
46,83,8,18,4,89.28
47,55,7,25,3,30.73
48,55,7,31,4,423.52
49,32,4,80,3,145.07
50,16,2,70,5,247.64
51,74,7,25,1,30.73
52,95,2,85,3,140.00
53,74,3,35,2,328.80
54,4,6,66,3,275.41
55,91,7,25,1,30.73
56,67,9,72,5,179.35
57,36,7,27,4,298.72
58,18,7,38,5,151.93
59,54,2,51,5,84.01
60,12,3,8,2,198.85
61,39,6,5,2,467.39
62,58,1,96,5,209.32
63,82,8,98,1,170.90
64,81,7,42,2,389.98
65,27,10,78,1,414.53
66,53,4,73,3,175.07
67,67,4,75,3,401.70
68,70,2,7,3,191.86
69,16,2,51,3,84.01
70,27,6,66,1,275.41
71,41,10,78,5,414.53
72,95,10,41,1,303.49
73,53,2,40,2,73.66
74,31,2,92,5,190.73
75,22,1,3,2,351.00
76,50,7,25,4,30.73
77,68,3,56,2,158.13
78,1,2,7,5,191.86
79,16,8,37,5,434.03
80,47,7,24,2,130.48
81,47,6,5,1,467.39
82,86,6,64,5,279.80
83,98,1,95,1,362.86
84,32,2,92,1,190.73
85,23,7,6,5,168.85
86,67,5,83,5,361.92
87,98,8,53,2,479.33
88,6,10,41,4,303.49
89,7,7,36,4,130.37
90,89,7,38,3,151.93
91,27,8,53,2,479.33
92,58,2,50,2,319.81
93,67,4,91,2,414.17
94,91,10,90,4,384.64
95,69,7,42,4,389.98
96,20,3,45,2,327.82
97,91,7,36,5,130.37
98,5,1,52,5,148.44
99,40,7,28,3,390.70
100,59,1,4,3,411.37
101,78,5,57,5,174.19
102,7,1,52,2,148.44
103,67,1,4,1,411.37
104,11,7,6,1,168.85
105,88,2,32,3,196.04
106,57,4,80,5,145.07
107,31,1,68,4,450.72
108,94,9,34,3,123.96
109,53,10,90,2,384.64
110,83,10,78,5,414.53
111,51,9,34,5,123.96
112,30,2,17,5,385.46
113,39,7,38,3,151.93
114,28,2,54,2,428.51
115,21,6,23,1,315.94
116,1,3,97,4,330.39
