order_id,customer_id,order_date,total_amount,store_id,payment_method_id
1,28,2024-01-17,118.84,2,1
2,70,2024-02-16,65.96,2,1
3,76,2024-04-05,127.90,3,6
4,97,2024-06-22,637.12,6,2
5,57,2024-03-01,61.00,1,5
6,17,2024-02-13,658.84,10,5
7,26,2024-06-23,243.74,1,10
8,88,2024-04-02,229.66,4,10
9,95,2024-01-26,100.52,1,2
10,91,2024-03-21,201.12,5,1
11,7,2024-05-17,830.81,7,10
12,58,2024-03-21,602.49,2,3
14,95,2024-05-07,453.66,1,3
16,33,2024-01-10,836.48,2,8
18,58,2024-02-13,266.39,7,6
19,98,2024-05-28,334.16,3,5
20,90,2024-01-10,46.84,3,11
21,60,2024-01-29,821.57,6,3
22,48,2024-03-16,788.60,1,4
23,33,2024-03-24,603.25,4,2
24,75,2024-01-16,668.31,4,10
25,63,2024-09-24,871.53,2,5
27,11,2024-04-17,618.17,2,7
28,64,2024-06-12,207.94,2,10
29,15,2024-01-01,569.92,3,5
30,65,2024-05-06,189.04,2,1
31,67,2024-06-07,74.87,1,2
32,5,2024-01-10,754.41,1,1
35,21,2024-04-16,399.17,9,6
36,32,2024-01-18,276.13,2,10
37,95,2024-01-05,439.14,10,2
38,97,2024-07-12,369.48,7,9
39,73,2024-01-29,75.74,5,3
40,47,2024-05-31,150.54,2,6
41,30,2024-07-28,961.99,10,8
42,61,2024-07-26,153.80,2,3
43,89,2024-07-03,292.16,1,5
44,30,2024-08-14,662.66,6,9
45,39,2024-02-03,964.84,2,5
46,72,2024-09-04,198.96,3,1
47,24,2024-08-01,57.37,3,1
48,25,2024-09-10,625.98,6,1
49,27,2024-07-16,565.01,5,9
50,60,2024-03-16,859.29,7,7
51,58,2024-01-01,799.41,7,7
52,61,2024-09-11,954.93,1,6
53,4,2024-03-10,962.77,2,4
54,44,2024-06-03,468.21,2,9
55,14,2024-08-30,35.92,3,11
56,34,2024-02-02,907.20,1,9
57,72,2024-07-07,901.24,1,3
58,9,2024-01-24,972.17,1,3
59,99,2024-02-22,324.08,1,5
60,81,2024-03-11,739.64,2,1
61,22,2024-01-28,518.97,3,7
62,59,2024-09-15,47.15,4,11
63,94,2024-08-28,51.95,5,3
64,29,2024-02-08,617.22,4,5
65,55,2024-01-03,248.65,1,2
66,85,2024-06-03,299.03,7,1
67,12,2024-02-01,71.75,1,7
68,38,2024-07-22,503.18,3,3
69,53,2024-08-04,175.04,6,4
70,85,2024-08-26,743.25,2,6
71,20,2024-07-10,554.18,3,8
72,10,2024-04-11,740.02,1,7
74,27,2024-06-16,711.49,3,8
76,68,2024-06-08,942.73,3,4
77,96,2024-02-19,648.59,10,2
78,18,2024-05-03,942.55,5,1
79,38,2024-05-26,369.08,2,9
80,49,2024-03-05,774.97,9,3
81,10,2024-01-04,759.17,7,5
82,55,2024-06-18,116.81,1,5
83,84,2024-08-09,844.69,6,7
84,18,2024-09-04,147.69,5,4
85,2,2024-03-30,977.83,9,2
86,27,2024-08-16,985.29,6,4
87,94,2024-09-01,713.70,2,6
88,91,2024-04-12,92.67,2,5
89,21,2024-03-02,47.16,7,11
91,8,2024-02-24,495.20,1,6
92,100,2024-06-27,982.32,3,7
93,29,2024-03-08,864.78,3,9
94,76,2024-02-14,559.48,9,2
95,49,2024-07-23,539.92,2,6
96,51,2024-01-16,445.46,3,3
97,21,2024-09-16,85.14,2,2
98,51,2024-08-08,757.89,1,8
99,45,2024-08-12,305.73,5,9
100,2,2024-08-20,934.95,7,5
