product_id,product_name,category,price,stock_quantity,store_id
1,Jacket,Clothing,131.20,18,2
2,T-shirt,Clothing,203.84,70,4
3,"Dining Table","Home Goods",351.00,73,1
4,Headphones,Electronics,411.37,91,1
5,Hat,Clothing,467.39,65,6
6,Jacket,Clothing,168.85,55,7
7,Headphones,Electronics,191.86,73,2
8,Shoes,Clothing,198.85,10,3
9,"Dining Table","Home Goods",408.65,0,8
10,Bed,"Home Goods",281.70,3,8
11,T-shirt,Clothing,68.12,55,5
12,Camera,Electronics,340.70,46,5
13,T-shirt,Clothing,363.28,6,10
14,Hat,Clothing,219.52,54,6
15,Jeans,Clothing,174.53,8,7
16,T-shirt,Clothing,359.60,55,5
17,Shoes,Clothing,385.46,88,2
18,T-shirt,Clothing,89.28,78,8
19,Shoes,Clothing,156.09,22,1
20,Jacket,Clothing,418.32,8,10
21,T-shirt,Clothing,71.66,63,4
22,Sofa,"Home Goods",130.33,82,3
23,Smartphone,Electronics,315.94,7,6
24,Bed,"Home Goods",130.48,9,7
25,Jacket,Clothing,30.73,75,7
26,Bed,"Home Goods",20.67,99,9
27,Headphones,Electronics,298.72,82,7
28,Laptop,Electronics,390.70,38,7
29,Hat,Clothing,407.80,78,2
30,Laptop,Electronics,37.28,7,4
31,Sofa,"Home Goods",423.52,0,7
32,T-shirt,Clothing,196.04,36,2
33,Lamp,"Home Goods",293.25,43,3
34,Hat,Clothing,123.96,50,9
35,Hat,Clothing,328.80,57,3
36,TV,Electronics,130.37,31,7
37,Laptop,Electronics,434.03,36,8
38,Curtains,"Home Goods",151.93,47,7
39,Laptop,Electronics,473.40,51,1
40,Shoes,Clothing,73.66,16,2
41,Laptop,Electronics,303.49,28,10
42,Smartphone,Electronics,389.98,77,7
43,Smartwatch,Electronics,495.89,15,4
44,Headphones,Electronics,89.79,98,1
45,Smartwatch,Electronics,327.82,56,3
46,Lamp,"Home Goods",141.79,93,5
47,Smartwatch,Electronics,191.20,45,3
48,Hat,Clothing,189.66,21,2
49,Jacket,Clothing,383.63,94,5
50,T-shirt,Clothing,319.81,71,2
51,Dress,Clothing,84.01,55,2
52,Laptop,Electronics,148.44,51,1
53,Hat,Clothing,479.33,44,8
54,Jeans,Clothing,428.51,18,2
55,Sofa,"Home Goods",39.34,81,3
56,Headphones,Electronics,158.13,70,3
57,Laptop,Electronics,174.19,71,5
58,Smartwatch,Electronics,247.02,47,3
59,Shoes,Clothing,248.53,8,5
60,Bed,"Home Goods",291.66,34,9
61,Camera,Electronics,73.45,94,9
62,Smartwatch,Electronics,169.15,12,9
63,Laptop,Electronics,137.90,25,6
64,Laptop,Electronics,279.80,90,6
65,Dress,Clothing,222.82,31,5
66,Camera,Electronics,275.41,90,6
67,Hat,Clothing,400.36,58,3
68,Sofa,"Home Goods",450.72,7,1
69,Hat,Clothing,103.91,80,7
70,TV,Electronics,247.64,37,2
71,Bed,"Home Goods",431.45,78,9
72,Smartphone,Electronics,179.35,64,9
73,Dress,Clothing,175.07,36,4
74,Camera,Electronics,480.20,24,4
75,Sofa,"Home Goods",401.70,89,4
76,TV,Electronics,267.01,54,7
77,Laptop,Electronics,471.12,58,9
78,Lamp,"Home Goods",414.53,48,10
79,Smartwatch,Electronics,303.73,54,6
80,Dress,Clothing,145.07,46,4
81,Bed,"Home Goods",193.74,33,7
82,Chair,"Home Goods",239.56,66,7
83,TV,Electronics,361.92,83,5
84,Dress,Clothing,243.98,65,9
85,Laptop,Electronics,140.00,98,2
86,TV,Electronics,112.42,74,7
87,Laptop,Electronics,452.51,81,8
88,Jacket,Clothing,251.61,56,9
89,"Dining Table","Home Goods",429.41,87,5
90,Headphones,Electronics,384.64,26,10
91,Chair,"Home Goods",414.17,56,4
92,Lamp,"Home Goods",190.73,97,2
93,"Dining Table","Home Goods",180.02,3,10
94,Chair,"Home Goods",308.62,82,7
95,Lamp,"Home Goods",362.86,73,1
96,Curtains,"Home Goods",209.32,63,1
97,Shoes,Clothing,330.39,63,3
98,Camera,Electronics,170.90,82,8
99,T-shirt,Clothing,145.97,93,10
100,Jacket,Clothing,196.12,13,6
